,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
09/05/2020 17:55:35,10.15625,6.25,6.25,3.90625,6.640625,44,44,43,44,45,2106.00122,2106.00122,2106.00122,2106.00122,2.922548,1.95020366,0.00460568257,0.7443026,100.285767,65.26241,10.3537712,5.511059,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:36,6.25,6.25,4.6875,14.0625,7.8125,44,46,44,45,46,2106.00049,2106.00049,2106.00049,2106.00049,3.25843835,2.29216361,0.00610980345,0.6828785,100.285736,65.26241,10.3537712,5.511059,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:37,29.6875,15.625,14.0625,12.5,17.96875,44,46,44,45,45,2106.001,2106.001,2106.001,2106.001,5.27153873,4.06038952,0.00453999452,0.8734949,100.285759,65.26088,10.3535271,5.511303,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:38,6.25,3.125,3.125,4.6875,4.296875,43,44,44,44,45,2106.001,2106.001,2106.001,2106.001,2.49652743,1.59075141,0.005904428,0.710622549,100.285759,65.26047,10.3534622,5.511368,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:39,9.375,7.8125,5.46875,7.8125,7.6171875,44,44,44,44,45,2106.00122,2106.00122,2106.00122,2106.00122,3.098521,2.136385,0.004479556,0.746511936,100.285767,65.26537,10.35424,5.5105896,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:40,7.03125,7.8125,3.125,4.6875,5.6640625,44,44,44,44,44,2106.00073,2106.00073,2106.00073,2106.00073,2.7200284,1.789557,0.00496758427,0.7283337,100.285744,65.2673645,10.354557,5.510273,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:41,7.764423,9.254807,3.076923,6.92307949,6.75480938,44,44,44,44,45,2106.001,2106.001,2106.001,2106.001,2.68917322,1.77966845,0.004970633,0.7155893,100.285759,65.2687149,10.3547707,5.51005936,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:42,9.499007,4.724705,6.349206,5.555558,6.532115,43,44,44,44,45,2106.00122,2106.00122,2106.00122,2106.00122,2.47971034,1.58751953,0.00680542272,0.696689665,100.285767,65.2698441,10.35495,5.50988,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:43,10.15625,3.125,1.5625,10.9375,6.4453125,44,45,44,44,45,2106.001,2106.001,2106.001,2106.001,3.17041779,2.18631768,0.00369279739,0.7909851,100.285759,65.2823,10.356926,5.507904,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:44,24.21875,30.46875,22.65625,40.625,29.4921875,46,48,47,46,48,2106.001,2106.001,2106.001,2106.001,7.33287764,6.03839636,0.0140827186,1.00314116,100.285759,65.42224,10.3791275,5.48570251,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:45,34.375,34.375,44.53125,35.15625,37.109375,46,48,46,46,48,2106.001,2106.001,2106.001,2106.001,7.479009,6.18047333,0.0137421256,0.941367269,100.285759,65.52989,10.3962059,5.468624,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:46,17.96875,31.25,25,24.21875,24.609375,47,48,48,47,49,2106.001,2106.001,2106.001,2106.001,6.70596027,5.43223763,0.0134381913,0.9039908,100.285759,65.37632,10.3718414,5.49298859,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:47,29.2307682,31.5384636,28.46154,20.7692261,27.4999981,45,49,45,45,49,2106.00122,2106.00122,2106.00122,2106.00122,6.77863264,5.484576,0.0113688773,0.964238048,100.285767,65.37831,10.3721581,5.492672,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:48,14.0625,25,19.53125,21.875,20.1171875,45,50,45,45,50,2106.00073,2106.00073,2106.00073,2106.00073,5.86789274,4.64269638,0.00659130374,0.7996037,100.285751,65.4344559,10.3810654,5.48376465,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:49,15.3846149,30.76923,13.0769253,19.9999981,19.8076839,49,46,45,44,48,2106.00073,2106.00073,2106.00073,2106.00073,5.701406,4.493895,0.003881891,0.7765601,100.285744,65.43126,10.380558,5.484272,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:50,11.71875,14.0625,10.15625,8.59375,11.1328125,44,45,45,45,45,2106.00049,2106.00049,2106.00049,2106.00049,3.91758,2.88947415,0.0108755473,0.791165531,100.285736,65.37396,10.3714676,5.49336243,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:51,5.46875,10.9375,6.25,4.6875,6.8359375,44,45,44,44,45,2106.00122,2106.00122,2106.00122,2106.00122,3.255307,2.28015113,0.003938922,0.8190534,100.285767,65.3743,10.371521,5.493309,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:52,8.4615345,6.92307949,4.615384,5.384612,6.34614849,44,45,44,44,45,2106.00146,2106.00146,2106.00146,2106.00146,2.68778586,1.79277527,0.009039908,0.704035163,100.285782,65.36725,10.3704033,5.49442673,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:53,3.125,4.6875,2.34375,3.125,3.3203125,46,45,44,44,46,2106.00073,2106.00073,2106.00073,2106.00073,2.57591677,1.69172561,0.00386350742,0.7191643,100.285751,65.36441,10.3699532,5.494877,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:54,6.153846,3.8461566,3.076923,3.8461566,4.23077345,44,44,44,44,45,2106.00073,2106.00073,2106.00073,2106.00073,2.48151159,1.61750245,0.00628609676,0.710328937,100.285751,65.36395,10.3698807,5.49494934,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:55,11.5384579,7.69230747,3.076923,1.53846145,5.96153736,44,44,44,44,45,2106.001,2106.001,2106.001,2106.001,2.74772573,1.84902716,0.00579027273,0.7025531,100.285759,65.27797,10.3562393,5.5085907,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:56,7.8125,10.15625,18.75,8.59375,11.328125,44,45,44,44,45,2106.001,2106.001,2106.001,2106.001,3.61183572,2.61181617,0.00461398,0.71116,100.285759,65.29759,10.3593521,5.505478,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:57,6.25,6.25,2.34375,5.46875,5.078125,44,44,44,44,45,2106.00122,2106.00122,2106.00122,2106.00122,2.755603,1.83162689,0.00595321739,0.7110719,100.285767,65.29649,10.3591766,5.50565338,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:58,3.125,8.59375,2.34375,5.46875,4.8828125,44,44,44,44,45,2106.001,2106.001,2106.001,2106.001,2.686489,1.80157375,0.0043783607,0.69530797,100.285759,65.2960052,10.3591,5.50572968,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:55:59,8.4615345,3.8461566,3.8461566,3.8461566,5.000001,44,44,43,44,45,2106.00073,2106.00073,2106.00073,2106.00073,2.91711187,2.01849127,0.00466108369,0.7398411,100.285751,65.29605,10.359108,5.505722,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:56:00,7.69230747,6.153846,5.384612,11.5384579,7.692313,44,46,45,46,46,2106.00122,2106.00122,2106.00122,2106.00122,3.51158762,2.48502874,0.006528673,0.809855,100.285774,65.28581,10.3574829,5.507347,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:56:01,11.5384579,6.92307949,7.69230747,5.384612,7.884616,44,44,44,44,45,2106.00049,2106.00049,2106.00049,2106.00049,2.78578281,1.87421966,0.006356365,0.715787232,100.285744,65.28494,10.3573456,5.50748444,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:56:02,7.03125,2.34375,3.125,3.125,3.90625,44,44,44,44,45,2106.001,2106.001,2106.001,2106.001,2.65014839,1.7449522,0.00533216866,0.711662769,100.285759,65.28456,10.3572845,5.50754547,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:56:03,7.69230747,8.4615345,6.153846,6.153846,7.115382,44,45,44,44,46,2106.001,2106.001,2106.001,2106.001,2.879967,1.97113919,0.005438862,0.72815007,100.285759,65.28723,10.357708,5.507122,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:56:04,7.03125,5.46875,4.6875,7.8125,6.25,44,44,44,43,45,2106.001,2106.001,2106.001,2106.001,2.856483,1.94555831,0.00552820135,0.687585354,100.285759,65.28648,10.35759,5.5072403,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:56:05,7.03125,6.25,7.8125,7.03125,7.03125,43,44,43,44,45,2106.001,2106.001,2106.001,2106.001,2.61088514,1.73148787,0.00589087559,0.7153118,100.285759,65.2703,10.3550224,5.50980759,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
